instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-tiw56r66_150,best,transpose,random,1940755,1257041,35.229279,0.030988
N-tiw56r66_150,best,transpose,cw,1940755,1615067,16.781510,0.043630
N-tiw56r66_150,best,transpose,random,1940755,1409970,27.349408,0.019759
N-tiw56r66_150,best,transpose,cw,1940755,1630032,16.010419,0.021668
N-tiw56r66_150,best,exchange,random,1940755,1907185,1.729739,45.858580
N-tiw56r66_150,best,exchange,cw,1940755,1859025,4.211248,42.355921
N-tiw56r66_150,best,insert,random,1940755,1907614,1.707634,56.105143
N-tiw56r66_150,best,insert,cw,1940755,1918034,1.170730,54.470705
N-stabu1_150,best,transpose,random,2875732,1979097,31.179366,0.011032
N-stabu1_150,best,transpose,cw,2875732,2398748,16.586525,0.020179
N-stabu1_150,best,exchange,random,2875732,2827126,1.690213,43.739161
N-stabu1_150,best,exchange,cw,2875732,2815337,2.100161,43.412547
N-stabu1_150,best,insert,random,2875732,2854996,0.721069,54.344207
N-stabu1_150,best,insert,cw,2875732,2858115,0.612609,53.879445
N-tiw56r67_150,best,transpose,random,2056347,1371524,33.302891,0.010831
N-tiw56r67_150,best,transpose,cw,2056347,1741945,15.289346,0.017860
N-tiw56r67_150,best,exchange,random,2056347,2014722,2.024221,42.415856
N-tiw56r67_150,best,exchange,cw,2056347,2020032,1.765996,42.419693
N-tiw56r67_150,best,insert,random,2056347,2039030,0.842124,53.879768
N-tiw56r67_150,best,insert,cw,2056347,2039789,0.805214,53.648439
N-tiw56n72_150,best,transpose,random,4135907,2940646,28.899610,0.011012
N-tiw56n72_150,best,transpose,cw,4135907,3546553,14.249692,0.017488
N-tiw56n72_150,best,exchange,random,4135907,4082180,1.299038,42.953672
N-tiw56n72_150,best,exchange,cw,4135907,4067543,1.652939,42.235955
N-tiw56n72_150,best,insert,random,4135907,4100833,0.848036,52.497501
N-tiw56n72_150,best,insert,cw,4135907,4079740,1.358033,50.806187
N-stabu3_150,best,transpose,random,4510445,3035935,32.691009,0.011494
N-stabu3_150,best,transpose,cw,4510445,3707248,17.807489,0.018005
N-stabu3_150,best,exchange,random,4510445,4464656,1.015177,41.203657
N-stabu3_150,best,exchange,cw,4510445,4440553,1.549559,41.676566
N-stabu3_150,best,insert,random,4510445,4461413,1.087077,52.766833
N-stabu3_150,best,insert,cw,4510445,4478635,0.705252,52.481363
N-t65n11xx_150,best,transpose,random,550733,387719,29.599461,0.011541
N-t65n11xx_150,best,transpose,cw,550733,449616,18.360440,0.019074
N-t65n11xx_150,best,exchange,random,550733,544050,1.213474,41.628017
N-t65n11xx_150,best,exchange,cw,550733,542013,1.583344,41.053575
N-t65n11xx_150,best,insert,random,550733,543967,1.228545,52.217753
N-t65n11xx_150,best,insert,cw,550733,547190,0.643324,52.978824
N-tiw56n67_150,best,transpose,random,2372926,1616641,31.871411,0.012013
N-tiw56n67_150,best,transpose,cw,2372926,2041988,13.946410,0.015973
N-tiw56n67_150,best,exchange,random,2372926,2329688,1.822139,44.351306
