instance,method,algorithm,best_known,cost,delta_percent,time_seconds
N-tiw56n72_150,RII,RII_best_insert_cw,4135907,4115082,0.503517,80.604975
N-stabu3_150,RII,RII_best_insert_cw,4510445,4496559,0.307863,80.604861
N-t65n11xx_150,RII,RII_best_insert_cw,550733,545481,0.953638,80.604524
N-tiw56n67_150,RII,RII_best_insert_cw,2372926,2348844,1.014865,80.604757
N-t65d11xx_150,RII,RII_best_insert_cw,3559347,3542986,0.459663,80.604515
N-stabu2_150,RII,RII_best_insert_cw,4327538,4302900,0.569331,80.604012
N-tiw56n58_150,RII,RII_best_insert_cw,1155392,1143826,1.001046,80.605198
N-t70l11xx_150,RII,RII_best_insert_cw,436862,431858,1.145442,80.604306
N-t75k11xx_150,RII,RII_best_insert_cw,1541596,1534212,0.478984,80.604053
N-tiw56r54_150,RII,RII_best_insert_cw,958192,950706,0.781263,80.604754
N-t75d11xx_150,RII,RII_best_insert_cw,9642140,9554071,0.913376,80.6048
N-t75n11xx_150,RII,RII_best_insert_cw,1743094,1729991,0.751709,80.604921
N-t65f11xx_150,RII,RII_best_insert_cw,3159326,3132441,0.850973,80.604634
N-tiw56r58_150,RII,RII_best_insert_cw,1219295,1210348,0.733785,80.604273
N-t59f11xx_150,RII,RII_best_insert_cw,1543733,1533297,0.676024,80.604743
N-t70d11xx_150,RII,RII_best_insert_cw,6174178,6102556,1.160025,80.604401
N-tiw56n66_150,RII,RII_best_insert_cw,2107619,2089893,0.841044,80.604346
N-tiw56r72_150,RII,RII_best_insert_cw,2823758,2783871,1.41255,80.604312
N-t70d11xn_150,RII,RII_best_insert_cw,5825147,5781843,0.743398,80.604732
N-tiw56n62_150,RII,RII_best_insert_cw,1626921,1615048,0.729783,80.604198
N-t65b11xx_150,RII,RII_best_insert_cw,6453836,6395830,0.898783,80.604118
N-t70b11xx_150,RII,RII_best_insert_cw,9647229,9578564,0.711759,80.604284
N-t70n11xx_150,RII,RII_best_insert_cw,948913,942023,0.726094,80.604023
N-be75tot_150,RII,RII_best_insert_cw,12287707,12203882,0.682186,80.604484
N-be75oi_150,RII,RII_best_insert_cw,2246534,2237350,0.408808,80.604496
N-tiw56n54_150,RII,RII_best_insert_cw,837945,832600,0.63787,80.604886
N-t59n11xx_150,RII,RII_best_insert_cw,318960,317043,0.601016,80.604548
N-t69r11xx_150,RII,RII_best_insert_cw,11855957,11728151,1.07799,80.604616
N-t70f11xx_150,RII,RII_best_insert_cw,5150097,5101020,0.952934,80.604417
N-t74d11xx_150,RII,RII_best_insert_cw,9396044,9306275,0.955391,80.604045
N-be75eec_150,RII,RII_best_insert_cw,3482828,3473302,0.273513,80.604734
N-be75np_150,RII,RII_best_insert_cw,7174325,7114687,0.83127,80.604512
N-t65l11xx_150,RII,RII_best_insert_cw,253396,251948,0.571438,80.604497
N-t59b11xx_150,RII,RII_best_insert_cw,3239550,3214980,0.758439,80.604404
N-t59d11xx_150,RII,RII_best_insert_cw,1462697,1455222,0.511042,80.604717
N-t75e11xx_150,RII,RII_best_insert_cw,41570193,41269919,0.72233,80.604067
N-tiw56r66_150,VNS,VNS_order2,1940755,1911313,1.517038,80.607302
N-stabu1_150,VNS,VNS_order2,2875732,2834382,1.437895,80.607389
N-tiw56r67_150,VNS,VNS_order2,2056347,2031106,1.227468,80.605487
N-tiw56n72_150,VNS,VNS_order2,4135907,4102363,0.811043,80.604362
N-stabu3_150,VNS,VNS_order2,4510445,4462331,1.066724,80.605945
N-t65n11xx_150,VNS,VNS_order2,550733,541967,1.591697,80.607126
N-tiw56n67_150,VNS,VNS_order2,2372926,2338269,1.460518,80.609433
N-t65d11xx_150,VNS,VNS_order2,3559347,3520511,1.091099,80.604684
N-stabu2_150,VNS,VNS_order2,4327538,4293354,0.789918,80.605885
N-tiw56n58_150,VNS,VNS_order2,1155392,1136979,1.593658,80.607032
N-t70l11xx_150,VNS,VNS_order2,436862,435460,0.320925,80.608517
N-t75k11xx_150,VNS,VNS_order2,1541596,1523438,1.17787,80.605646
N-tiw56r54_150,VNS,VNS_order2,958192,945818,1.29139,80.607963
N-t75d11xx_150,VNS,VNS_order2,9642140,9439738,2.09914,80.604038
N-t75n11xx_150,VNS,VNS_order2,1743094,1718598,1.405317,80.605639
N-t65f11xx_150,VNS,VNS_order2,3159326,3124301,1.108623,80.607392
N-tiw56r58_150,VNS,VNS_order2,1219295,1208795,0.861153,80.606195
N-t59f11xx_150,VNS,VNS_order2,1543733,1527670,1.04053,80.604915
N-t70d11xx_150,VNS,VNS_order2,6174178,6059580,1.856085,80.606164
N-tiw56n66_150,VNS,VNS_order2,2107619,2079680,1.325619,80.605647
N-tiw56r72_150,VNS,VNS_order2,2823758,2780326,1.538092,80.605931
N-t70d11xn_150,VNS,VNS_order2,5825147,5748462,1.316447,80.605656
N-tiw56n62_150,VNS,VNS_order2,1626921,1600915,1.59848,80.60735
N-t65b11xx_150,VNS,VNS_order2,6453836,6369636,1.30465,80.606714
N-t70b11xx_150,VNS,VNS_order2,9647229,9566716,0.834571,80.605908
N-t70n11xx_150,VNS,VNS_order2,948913,942144,0.713343,80.604599
N-be75tot_150,VNS,VNS_order2,12287707,12142561,1.181229,80.60467
N-be75oi_150,VNS,VNS_order2,2246534,2237209,0.415084,80.604875
N-tiw56n54_150,VNS,VNS_order2,837945,828750,1.097327,80.604576
N-t59n11xx_150,VNS,VNS_order2,318960,316665,0.719526,80.607123
N-t69r11xx_150,VNS,VNS_order2,11855957,11688164,1.415263,80.606708
N-t70f11xx_150,VNS,VNS_order2,5150097,5096114,1.048194,80.60654
N-t74d11xx_150,VNS,VNS_order2,9396044,9278122,1.255018,80.6055
N-be75eec_150,VNS,VNS_order2,3482828,3446637,1.039127,80.607975
N-be75np_150,VNS,VNS_order2,7174325,7058778,1.610563,80.604781
N-t65l11xx_150,VNS,VNS_order2,253396,251639,0.693381,80.604567
N-t59b11xx_150,VNS,VNS_order2,3239550,3198940,1.253569,80.607102
N-t59d11xx_150,VNS,VNS_order2,1462697,1438862,1.629524,80.604048
N-t75e11xx_150,VNS,VNS_order2,41570193,41124565,1.071989,80.60649
