initial_solution,neighborhood,best,first,better_one
cw,exchange,16.428363230769232,17.274369794871795,best
cw,insert,16.64016103846154,17.274449602564104,best
cw,transpose,17.267722974358975,17.283998025641026,best
random,exchange,33.213704294871796,35.21186474358974,best
random,insert,33.912177371794876,35.21254751282051,best
random,transpose,34.98381807692308,35.216223294871796,best
