pivoting_rule,initial_solution,transpose,exchange,insert,best_neighborhood
best,cw,17.07829653846154,3.84647858974359,2.2607516025641026,insert
best,random,34.096605051282054,3.6359222692307696,2.2980900512820512,insert
first,cw,17.08630648717949,2.9659915000000003,2.0164418974358975,insert
first,random,34.45631512820513,2.8590170384615385,2.06804141025641,insert
