initial_solution,neighborhood,first,best,better_one
cw,exchange,2.9659915000000003,3.84647858974359,first
cw,insert,2.0164418974358975,2.2607516025641026,first
cw,transpose,17.08630648717949,17.07829653846154,best
random,exchange,2.8590170384615385,3.6359222692307696,first
random,insert,2.06804141025641,2.2980900512820512,first
random,transpose,34.45631512820513,34.096605051282054,best
