pivoting_rule,initial_solution,exchange,insert,transpose,best_neighborhood
best,cw,16.428363230769232,16.64016103846154,17.267722974358975,exchange
best,random,33.213704294871796,33.912177371794876,34.98381807692308,exchange
first,cw,17.274369794871795,17.274449602564104,17.283998025641026,exchange
first,random,35.21186474358974,35.21254751282051,35.216223294871796,exchange
