instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-tiw56r54_150,best,insert,random,958192,854339,10.838433,13.599134
N-tiw56r54_150,best,insert,cw,958192,847286,11.574507,13.638507
N-t75d11xx_150,best,transpose,random,9642140,7545625,21.743254,0.003918
N-t75d11xx_150,best,transpose,cw,9642140,8289250,14.031014,0.005184
N-t75d11xx_150,best,exchange,random,9642140,8646400,10.326961,11.393227
N-t75d11xx_150,best,exchange,cw,9642140,8213221,14.819521,11.324686
N-t75d11xx_150,best,insert,random,9642140,8716160,9.603470,13.684257
N-t75d11xx_150,best,insert,cw,9642140,8775781,8.985132,13.883786
N-t75n11xx_150,best,transpose,random,1743094,1322682,24.118722,0.003680
N-t75n11xx_150,best,transpose,cw,1743094,1456713,16.429464,0.004691
N-t75n11xx_150,best,exchange,random,1743094,1588001,8.897569,11.461998
N-t75n11xx_150,best,exchange,cw,1743094,1493503,14.318849,11.169058
N-t75n11xx_150,best,insert,random,1743094,1489767,14.533181,13.673625
N-t75n11xx_150,best,insert,cw,1743094,1610510,7.606245,13.765442
N-t65f11xx_150,best,transpose,random,3159326,2465766,21.952784,0.003700
N-t65f11xx_150,best,transpose,cw,3159326,2699804,14.544938,0.004667
N-t65f11xx_150,best,exchange,random,3159326,2730827,13.562988,11.366421
N-t65f11xx_150,best,exchange,cw,3159326,2710456,14.207777,11.258029
N-t65f11xx_150,best,insert,random,3159326,2765183,12.475541,13.653184
N-t65f11xx_150,best,insert,cw,3159326,2831758,10.368287,13.657349
N-tiw56r58_150,best,transpose,random,1219295,928756,23.828442,0.003680
N-tiw56r58_150,best,transpose,cw,1219295,1061197,12.966345,0.004717
N-tiw56r58_150,best,exchange,random,1219295,1107312,9.184242,11.438566
N-tiw56r58_150,best,exchange,cw,1219295,1069925,12.250522,11.138494
N-tiw56r58_150,best,insert,random,1219295,1089510,10.644266,13.728762
N-tiw56r58_150,best,insert,cw,1219295,1087804,10.784183,13.698044
N-t59f11xx_150,best,transpose,random,1543733,1259663,18.401498,0.003672
N-t59f11xx_150,best,transpose,cw,1543733,1319107,14.550832,0.004612
N-t59f11xx_150,best,exchange,random,1543733,1399939,9.314694,11.355601
N-t59f11xx_150,best,exchange,cw,1543733,1325804,14.117014,11.209323
N-t59f11xx_150,best,insert,random,1543733,1368812,11.331040,13.601923
N-t59f11xx_150,best,insert,cw,1543733,1350334,12.528008,13.657130
N-t70d11xx_150,best,transpose,random,6174178,4831924,21.739801,0.003696
N-t70d11xx_150,best,transpose,cw,6174178,5295454,14.232243,0.004661
N-t70d11xx_150,best,exchange,random,6174178,5599160,9.313272,11.419854
N-t70d11xx_150,best,exchange,cw,6174178,5388903,12.718697,11.263488
N-t70d11xx_150,best,insert,random,6174178,5561298,9.926504,13.766629
N-t70d11xx_150,best,insert,cw,6174178,5714135,7.451081,13.748368
N-tiw56n66_150,best,transpose,random,2107619,1632145,22.559770,0.003678
N-tiw56n66_150,best,transpose,cw,2107619,1814565,13.904506,0.004677
N-tiw56n66_150,best,exchange,random,2107619,1861777,11.664442,11.329400
N-tiw56n66_150,best,exchange,cw,2107619,1843085,12.551320,11.314734
N-tiw56n66_150,best,insert,random,2107619,1867649,11.385834,13.719894
N-tiw56n66_150,best,insert,cw,2107619,1868250,11.357318,13.769881
N-tiw56r72_150,best,transpose,random,2823758,2193377,22.324186,0.003727
N-tiw56r72_150,best,transpose,cw,2823758,2456497,13.006107,0.004667
N-tiw56r72_150,best,exchange,random,2823758,2399850,15.012193,11.378374
N-tiw56r72_150,best,exchange,cw,2823758,2498542,11.517134,11.334070
N-tiw56r72_150,best,insert,random,2823758,2554463,9.536759,13.673241
N-tiw56r72_150,best,insert,cw,2823758,2488368,11.877434,13.708011
N-t70d11xn_150,best,transpose,random,5825147,4479850,23.094645,0.003735
N-t70d11xn_150,best,transpose,cw,5825147,5105195,12.359379,0.004699
N-t70d11xn_150,best,exchange,random,5825147,4992141,14.300171,11.497133
N-t70d11xn_150,best,exchange,cw,5825147,5017970,13.856766,11.168182
N-t70d11xn_150,best,insert,random,5825147,5001568,14.138338,13.731026
N-t70d11xn_150,best,insert,cw,5825147,4911760,15.680068,13.695846
N-tiw56n62_150,best,transpose,random,1626921,1226107,24.636353,0.003703
N-tiw56n62_150,best,transpose,cw,1626921,1393745,14.332349,0.004714
N-tiw56n62_150,best,exchange,random,1626921,1398070,14.066510,11.345113
N-tiw56n62_150,best,exchange,cw,1626921,1464403,9.989299,11.333791
N-tiw56n62_150,best,insert,random,1626921,1411107,13.265180,13.660254
N-tiw56n62_150,best,insert,cw,1626921,1425170,12.400787,13.691261
N-t65b11xx_150,best,transpose,random,6453836,4875298,24.458911,0.003735
N-t65b11xx_150,best,transpose,cw,6453836,5401714,16.302274,0.004739
N-t65b11xx_150,best,exchange,random,6453836,5852887,9.311501,11.421085
N-t65b11xx_150,best,exchange,cw,6453836,5702433,11.642735,11.299083
N-t65b11xx_150,best,insert,random,6453836,5864642,9.129361,13.868086
N-t65b11xx_150,best,insert,cw,6453836,6029210,6.579436,13.813210
N-t70b11xx_150,best,transpose,random,9647229,6956253,27.893771,0.003699
N-t70b11xx_150,best,transpose,cw,9647229,8250327,14.479826,0.004744
N-t70b11xx_150,best,exchange,random,9647229,8033361,16.728824,11.333576
N-t70b11xx_150,best,exchange,cw,9647229,8094904,16.090890,11.261262
N-t70b11xx_150,best,insert,random,9647229,8747137,9.330057,13.771616
N-t70b11xx_150,best,insert,cw,9647229,8267804,14.298665,13.676758
N-t70n11xx_150,best,transpose,random,948913,718380,24.294430,0.003740
N-t70n11xx_150,best,transpose,cw,948913,781154,17.679071,0.004674
N-t70n11xx_150,best,exchange,random,948913,841708,11.297664,11.380204
N-t70n11xx_150,best,exchange,cw,948913,800749,15.614076,11.276766
N-t70n11xx_150,best,insert,random,948913,831518,12.371524,13.831395
N-t70n11xx_150,best,insert,cw,948913,864687,8.876051,13.604120
N-be75tot_150,best,transpose,random,12287707,8571592,30.242542,0.003715
N-be75tot_150,best,transpose,cw,12287707,10316338,16.043425,0.004655
N-be75tot_150,best,exchange,random,12287707,10959972,10.805393,11.458630
N-be75tot_150,best,exchange,cw,12287707,10965608,10.759526,11.287119
N-be75tot_150,best,insert,random,12287707,10771579,12.338575,13.768025
N-be75tot_150,best,insert,cw,12287707,10603242,13.708538,13.628423
N-be75oi_150,best,transpose,random,2246534,1647014,26.686442,0.003741
N-be75oi_150,best,transpose,cw,2246534,1884112,16.132496,0.004674
N-be75oi_150,best,exchange,random,2246534,2058610,8.365064,11.277398
N-be75oi_150,best,exchange,cw,2246534,2014849,10.312998,11.134506
