instance,pivoting_rule,neighborhood,initial_solution,cost,delta_percent,time_seconds,instance_clean,best_known
N-tiw56r67_150,best,exchange,cw,1756266,14.592916,0.03043,N-tiw56r67_150,2056347
N-tiw56r67_150,best,insert,random,1282238,37.644862,0.053605,N-tiw56r67_150,2056347
N-tiw56r67_150,best,insert,cw,1740335,15.36764,0.054806,N-tiw56r67_150,2056347
N-tiw56n72_150,first,transpose,random,2357456,43.000266,1.3e-05,N-tiw56n72_150,4135907
N-tiw56n72_150,first,transpose,cw,3490865,15.596144,0.000933,N-tiw56n72_150,4135907
N-tiw56n72_150,first,exchange,random,2359085,42.960879,1e-05,N-tiw56n72_150,4135907
N-tiw56n72_150,first,exchange,cw,3491990,15.568943,0.000938,N-tiw56n72_150,4135907
N-tiw56n72_150,first,insert,random,2359085,42.960879,1e-05,N-tiw56n72_150,4135907
N-tiw56n72_150,first,insert,cw,3490919,15.594838,0.000928,N-tiw56n72_150,4135907
N-tiw56n72_150,best,transpose,random,2372451,42.637709,0.000337,N-tiw56n72_150,4135907
N-tiw56n72_150,best,transpose,cw,3491532,15.580017,0.001241,N-tiw56n72_150,4135907
N-tiw56n72_150,best,exchange,random,2570969,37.837843,0.030515,N-tiw56n72_150,4135907
N-tiw56n72_150,best,exchange,cw,3523339,14.810971,0.029995,N-tiw56n72_150,4135907
N-tiw56n72_150,best,insert,random,2496470,39.639117,0.052723,N-tiw56n72_150,4135907
N-tiw56n72_150,best,insert,cw,3513172,15.056794,0.055064,N-tiw56n72_150,4135907
N-t65l11xx_250,first,transpose,random,406935,38.921943,6.5e-05,N-t65l11xx_250,666254
N-t65l11xx_250,first,transpose,cw,552442,17.082374,0.00429,N-t65l11xx_250,666254
N-t65l11xx_250,first,exchange,random,407286,38.86926,0.000117,N-t65l11xx_250,666254
N-t65l11xx_250,first,exchange,cw,552437,17.083124,0.004271,N-t65l11xx_250,666254
N-t65l11xx_250,first,insert,random,407539,38.831287,0.000306,N-t65l11xx_250,666254
N-t65l11xx_250,first,insert,cw,552437,17.083124,0.00733,N-t65l11xx_250,666254
N-t65l11xx_250,best,transpose,random,407677,38.810574,0.003504,N-t65l11xx_250,666254
N-t65l11xx_250,best,transpose,cw,552453,17.080723,0.006693,N-t65l11xx_250,666254
N-t65l11xx_250,best,exchange,random,421688,36.707622,0.189094,N-t65l11xx_250,666254
N-t65l11xx_250,best,exchange,cw,559039,16.092211,0.200718,N-t65l11xx_250,666254
N-t65l11xx_250,best,insert,random,418419,37.198276,0.40468,N-t65l11xx_250,666254
N-t65l11xx_250,best,insert,cw,557792,16.279377,0.43633,N-t65l11xx_250,666254
N-stabu3_150,first,transpose,random,2901598,35.669363,1e-05,N-stabu3_150,4510445
N-stabu3_150,first,transpose,cw,3672524,18.577347,0.001203,N-stabu3_150,4510445
N-stabu3_150,first,exchange,random,2901990,35.660672,1.8e-05,N-stabu3_150,4510445
N-stabu3_150,first,exchange,cw,3672524,18.577347,0.001008,N-stabu3_150,4510445
N-stabu3_150,first,insert,random,2901598,35.669363,0.000349,N-stabu3_150,4510445
N-stabu3_150,first,insert,cw,3672524,18.577347,0.000913,N-stabu3_150,4510445
N-stabu3_150,best,transpose,random,2908754,35.510709,0.000336,N-stabu3_150,4510445
N-stabu3_150,best,transpose,cw,3672721,18.572979,0.001256,N-stabu3_150,4510445
N-stabu3_150,best,exchange,random,3069209,31.9533,0.028861,N-stabu3_150,4510445
N-stabu3_150,best,exchange,cw,3728245,17.34197,0.0301,N-stabu3_150,4510445
N-stabu3_150,best,insert,random,3024173,32.951782,0.055131,N-stabu3_150,4510445
