instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-stabu3_150,first,exchange,random,4510445,4377623,2.944765,0.424613
N-stabu3_150,first,exchange,cw,4510445,4379297,2.907651,0.312496
N-stabu3_150,first,insert,random,4510445,4428997,1.805764,0.413588
N-stabu3_150,first,insert,cw,4510445,4413988,2.138525,0.236011
N-stabu3_150,best,transpose,random,4510445,3063737,32.074618,0.000018
N-stabu3_150,best,transpose,cw,4510445,3677376,18.469774,0.001054
N-stabu3_150,best,exchange,random,4510445,4323414,4.146620,0.084956
N-stabu3_150,best,exchange,cw,4510445,4348236,3.596297,0.078020
N-stabu3_150,best,insert,random,4510445,4445764,1.434027,0.098385
N-stabu3_150,best,insert,cw,4510445,4427867,1.830817,0.083088
N-t65n11xx_150,first,transpose,random,550733,360348,34.569383,0.000029
N-t65n11xx_150,first,transpose,cw,550733,444364,19.314078,0.001152
N-t65n11xx_150,first,exchange,random,550733,525548,4.572996,0.352398
N-t65n11xx_150,first,exchange,cw,550733,531447,3.501878,0.248678
N-t65n11xx_150,first,insert,random,550733,540272,1.899469,0.409566
N-t65n11xx_150,first,insert,cw,550733,539958,1.956483,0.233526
N-t65n11xx_150,best,transpose,random,550733,359426,34.736796,0.000021
N-t65n11xx_150,best,transpose,cw,550733,444349,19.316801,0.001066
N-t65n11xx_150,best,exchange,random,550733,531067,3.570877,0.071506
N-t65n11xx_150,best,exchange,cw,550733,521599,5.290041,0.075093
N-t65n11xx_150,best,insert,random,550733,538459,2.228666,0.102881
N-t65n11xx_150,best,insert,cw,550733,537031,2.487957,0.085581
N-tiw56n67_150,first,transpose,random,2372926,1466525,38.197609,0.000014
N-tiw56n67_150,first,transpose,cw,2372926,2022924,14.749807,0.001052
N-tiw56n67_150,first,exchange,random,2372926,2320868,2.193832,0.394564
N-tiw56n67_150,first,exchange,cw,2372926,2286188,3.655318,0.254269
N-tiw56n67_150,first,insert,random,2372926,2327721,1.905032,0.392702
N-tiw56n67_150,first,insert,cw,2372926,2308001,2.736074,0.257968
N-tiw56n67_150,best,transpose,random,2372926,1482513,37.523842,0.000028
N-tiw56n67_150,best,transpose,cw,2372926,2022327,14.774966,0.001120
N-tiw56n67_150,best,exchange,random,2372926,2263851,4.596646,0.083690
N-tiw56n67_150,best,exchange,cw,2372926,2289935,3.497412,0.070252
N-tiw56n67_150,best,insert,random,2372926,2321175,2.180894,0.121398
N-tiw56n67_150,best,insert,cw,2372926,2305812,2.828323,0.089941
N-t70d11xn_250,first,transpose,random,15207063,10569960,30.493087,0.000049
N-t70d11xn_250,first,transpose,cw,15207063,12899021,15.177434,0.005610
N-t70d11xn_250,first,exchange,random,15207063,14851824,2.336013,5.375962
N-t70d11xn_250,first,exchange,cw,15207063,14775815,2.835840,3.764677
N-t70d11xn_250,first,insert,random,15207063,14877331,2.168282,5.057208
N-t70d11xn_250,first,insert,cw,15207063,14922758,1.869559,3.326561
N-t70d11xn_250,best,transpose,random,15207063,10581134,30.419608,0.000072
N-t70d11xn_250,best,transpose,cw,15207063,12900586,15.167143,0.004836
N-t70d11xn_250,best,exchange,random,15207063,14708041,3.281515,0.791823
N-t70d11xn_250,best,exchange,cw,15207063,14742017,3.058092,0.863611
N-t70d11xn_250,best,insert,random,15207063,14958671,1.633399,0.939607
N-t70d11xn_250,best,insert,cw,15207063,14907181,1.971992,0.857337
N-t65d11xx_150,first,transpose,random,3559347,2414696,32.159017,0.000016
N-t65d11xx_150,first,transpose,cw,3559347,2965298,16.689831,0.001075
N-t65d11xx_150,first,exchange,random,3559347,3456562,2.887749,0.379371
N-t65d11xx_150,first,exchange,cw,3559347,3448673,3.109391,0.308508
N-t65d11xx_150,first,insert,random,3559347,3478716,2.265331,0.349807
N-t65d11xx_150,first,insert,cw,3559347,3469910,2.512736,0.296697
N-t65d11xx_150,best,transpose,random,3559347,2350144,33.972608,0.000016
N-t65d11xx_150,best,transpose,cw,3559347,2964403,16.714976,0.000933
N-t65d11xx_150,best,exchange,random,3559347,3443792,3.246522,0.076478
N-t65d11xx_150,best,exchange,cw,3559347,3431712,3.585911,0.072696
N-t65d11xx_150,best,insert,random,3559347,3482980,2.145534,0.104246
N-t65d11xx_150,best,insert,cw,3559347,3470305,2.501639,0.083049
N-stabu3_250,first,transpose,random,11900315,8299824,30.255426,0.000043
N-stabu3_250,first,transpose,cw,11900315,9911132,16.715381,0.006305
N-stabu3_250,first,exchange,random,11900315,11562228,2.840992,6.285296
N-stabu3_250,first,exchange,cw,11900315,11532169,3.093582,4.484237
N-stabu3_250,first,insert,random,11900315,11639796,2.189177,5.136037
N-stabu3_250,first,insert,cw,11900315,11603474,2.494396,3.566530
N-stabu3_250,best,transpose,random,11900315,7724015,35.094029,0.000074
N-stabu3_250,best,transpose,cw,11900315,9911575,16.711658,0.004862
N-stabu3_250,best,exchange,random,11900315,11513000,3.254662,0.879936
N-stabu3_250,best,exchange,cw,11900315,11442051,3.850856,0.862125
N-stabu3_250,best,insert,random,11900315,11613684,2.408600,0.910729
N-stabu3_250,best,insert,cw,11900315,11609572,2.443154,1.010639
N-stabu2_150,first,transpose,random,4327538,2892722,33.155480,0.000028
N-stabu2_150,first,transpose,cw,4327538,3507155,18.957269,0.001061
N-stabu2_150,first,exchange,random,4327538,4219102,2.505720,0.419975
N-stabu2_150,first,exchange,cw,4327538,4197528,3.004249,0.362316
N-stabu2_150,first,insert,random,4327538,4255296,1.669356,0.475086
N-stabu2_150,first,insert,cw,4327538,4255714,1.659697,0.280525
N-stabu2_150,best,transpose,random,4327538,2935597,32.164732,0.000018
N-stabu2_150,best,transpose,cw,4327538,3505706,18.990752,0.000971
N-stabu2_150,best,exchange,random,4327538,4224780,2.374514,0.084954
N-stabu2_150,best,exchange,cw,4327538,4159195,3.890041,0.076960
N-stabu2_150,best,insert,random,4327538,4261964,1.515273,0.105378
N-stabu2_150,best,insert,cw,4327538,4247598,1.847240,0.088467
N-t59f11xx_250,first,transpose,random,3993006,2734808,31.510045,0.000024
N-t59f11xx_250,first,transpose,cw,3993006,3325423,16.718808,0.005831
N-t59f11xx_250,first,exchange,random,3993006,3892986,2.504880,4.140775
N-t59f11xx_250,first,exchange,cw,3993006,3877756,2.886297,3.054392
N-t59f11xx_250,first,insert,random,3993006,3913499,1.991157,3.342362
N-t59f11xx_250,first,insert,cw,3993006,3906930,2.155669,2.240917
N-t59f11xx_250,best,transpose,random,3993006,2781866,30.331535,0.000052
N-t59f11xx_250,best,transpose,cw,3993006,3326323,16.696268,0.005378
N-t59f11xx_250,best,exchange,random,3993006,3819118,4.354814,0.760382
N-t59f11xx_250,best,exchange,cw,3993006,3846266,3.674926,0.762742
N-t59f11xx_250,best,insert,random,3993006,3886467,2.668140,0.951841
N-t59f11xx_250,best,insert,cw,3993006,3870911,3.057721,0.720887
